sionna_material,visual_material,slot_count,object_count,face_count,texture_files,objects_preview,strict_reason
itu_brick,Bricks_White2_Building,12,12,15888,Bricks_Norm.png;Bricks_Spec.png;Bricks_White_Diff.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,direct brick material name or texture
itu_brick,Bricks_White2_Building_1,1,1,723,Bricks_Norm.png;Bricks_Spec.png;Bricks_White_Diff.png,_30mX30m_8storey_mesh_BuildingNode,direct brick material name or texture
itu_brick,Bricks_White_Building,5,5,3910,Bricks_Norm.png;Bricks_Spec.png;Bricks_White_Diff.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,direct brick material name or texture
itu_brick,Emmissive_SidingBrickFlat_Building,2,2,328,SidingBricksFlat_Diff.png;SidingBricksFlat_Norm.png;SidingBricksFlat_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,direct brick material name or texture
itu_concrete,AnotherInteriorGlow_Building,3,3,804,Concrete_olive_Diff.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Cement_Prop,2,2,96,Cement01_Diff.png;Cement01_Norm.png;Cement01_Spec.png,ElectricalBox_Lg01_PropNode;ElectricalBox_Lg01_PropNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete1_Curb,4,4,12601,Concrete1_Diff.png;Concrete1_Norm.png;Concrete1_Spec.png,Roads_Curb_Layer0Node;Roads_Curb_Layer0_1Node;Roads_Curb_Layer0_2Node;Roads_Curb_Layer0_3Node,direct concrete/cement material name or texture
itu_concrete,Concrete1_Ground,4,4,1061,Concrete1_Diff.png;Concrete1_Norm.png;Concrete1_Spec.png,Terrain_Ground_Layer0Node;Terrain_Ground_Layer0_1Node;Terrain_Ground_Layer0_2Node;Terrain_Ground_Layer0_3Node,direct concrete/cement material name or texture
itu_concrete,Concrete1_Gutter,4,4,2472,Concrete1_Diff.png;Concrete1_Norm.png;Concrete1_Spec.png,Roads_Gutter_Layer0Node;Roads_Gutter_Layer0_1Node;Roads_Gutter_Layer0_2Node;Roads_Gutter_Layer0_3Node,direct concrete/cement material name or texture
itu_concrete,Concrete1_Sidewalk,4,4,2803,Concrete1_Diff.png;Concrete1_Norm.png;Concrete1_Spec.png,Roads_Sidewalk_Layer0Node;Roads_Sidewalk_Layer0_1Node;Roads_Sidewalk_Layer0_2Node;Roads_Sidewalk_Layer0_3Node,direct concrete/cement material name or texture
itu_concrete,Concrete_BlueGray1_Building,2,2,1844,Concrete_Bluegray_Diff.png;Concrete_Norm.png;Concrete_Spec.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_BlueGray_Building,6,6,2460,Concrete_Bluegray_Diff.png;Concrete_Norm.png;Concrete_Spec.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,direct concrete/cement material name or texture
itu_concrete,Concrete_BlueGray_Building_1,3,3,4140,Concrete_Bluegray_Diff.png;Concrete_Norm.png;Concrete_Spec.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Concrete_Brown1_Building,5,5,6240,Concrete_Brown_Diff.png;Concrete_Norm.png;Concrete_Spec.png,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,direct concrete/cement material name or texture
itu_concrete,Concrete_Brown_Building,3,3,156,Concrete_Brown_Diff.png;Concrete_Norm.png;Concrete_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Concrete_Olive1_Building,5,5,790,Concrete_Norm.png;Concrete_Spec.png;Concrete_olive_Diff.png,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,direct concrete/cement material name or texture
itu_concrete,Concrete_Olive2_Building,5,5,7940,Concrete_Norm.png;Concrete_Spec.png;Concrete_olive_Diff.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,direct concrete/cement material name or texture
itu_concrete,Concrete_Olive2_Building_1,4,4,7436,Concrete_Norm.png;Concrete_Spec.png;Concrete_olive_Diff.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,direct concrete/cement material name or texture
itu_concrete,Concrete_Olive_Building,2,2,2048,Concrete_Norm.png;Concrete_Spec.png;Concrete_olive_Diff.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_Olive_Building_1,1,1,962,Concrete_Norm.png;Concrete_Spec.png;Concrete_olive_Diff.png,_30mX30m_8storey_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Concrete_White1_Building,2,2,480,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_White26_Building,2,2,808,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_White26_Building_1,6,6,1860,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,direct concrete/cement material name or texture
itu_concrete,Concrete_White28_Building,12,12,3144,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,direct concrete/cement material name or texture
itu_concrete,Concrete_White28_Building_1,5,5,8290,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,direct concrete/cement material name or texture
itu_concrete,Concrete_White28_Building_2,6,6,1680,Concrete_Spec.png;Concrete_white_Diff.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,direct concrete/cement material name or texture
itu_concrete,Concrete_White2_Building,3,3,1308,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building,5,5,440,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_1,1,1,26,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_10,4,4,5336,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_2,4,4,2720,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_30mX45m_Corner_5storey_mesh_BuildingNode;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.001;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.002;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.003,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_3,3,3,1773,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_4,2,2,464,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_5,1,1,964,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_30mX30m_02_5storey0_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_6,1,1,546,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,_30mX30m_8storey_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_7,2,2,436,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode;Downtown_15mX30m_Corner_10storey0_mesh_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_8,1,1,88,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Building_9,3,3,264,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Prop,1,1,88,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_30mx15m_01_5storey0_PropNode,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Trim1_Building,5,5,3750,Concrete_Spec.png;Concrete_white_Diff.png;Stone_Trim_Norm.png,Downtown_8mX15m_02_4storey0_mesh_BuildingNode;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.001;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.002;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.003;Downtown_8mX15m_02_4storey0_mesh_BuildingNode.004,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Trim2_Building,3,3,384,Concrete_Spec.png;Concrete_white_Diff.png;Stone_Trim_Norm.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Trim2_Building_1,4,4,5424,Concrete_Spec.png;Concrete_white_Diff.png;Stone_Trim_Norm.png,Downtown_30mX45m_Corner_5storey_mesh_BuildingNode;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.001;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.002;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.003,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Trim_Building,2,2,1556,Concrete_Spec.png;Concrete_white_Diff.png;Stone_Trim_Norm.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_White_Trim_Building_1,6,6,2388,Concrete_Spec.png;Concrete_white_Diff.png;Stone_Trim_Norm.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,direct concrete/cement material name or texture
itu_concrete,Concrete_WhiteEmissive1_Building,2,2,736,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Concrete_WhiteEmissive1_Building_1,2,2,328,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,mX15m_01_5storey_Interior_mesh_BuildingNode;mX15m_01_5storey_TopInterior_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Concrete_WhiteEmissive1_Prop,2,2,222,Concrete_Norm.png;Concrete_Spec.png;Concrete_white_Diff.png,Downtown_30mx15m_01_5storey_Interior1_PropNode;Downtown_30mx15m_01_5storey_Interior_PropNode,direct concrete/cement material name or texture
itu_concrete,Emmissive_ConcretePopcorn_Building,2,2,104,ConcretePopcorn_Diff.png;ConcretePopcorn_Norm.png;ConcretePopcorn_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete1_Building,2,2,358,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode;Downtown_20mX30m_Corner_02_3storey0_mesh_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete2_Building,6,6,192,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_6mX15m_01_2storey0_mesh1_BuildingNode;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.001;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.002;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.003;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.004;Downtown_6mX15m_01_2storey0_mesh1_BuildingNode.005,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building,5,5,530,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_15mX15m_02_5storey0_BuildingNode;Downtown_15mX15m_02_5storey0_BuildingNode.001;Downtown_15mX15m_02_5storey0_BuildingNode.002;Downtown_15mX15m_02_5storey0_BuildingNode.003;Downtown_15mX15m_02_5storey0_BuildingNode.004,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_1,4,4,512,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_30mX45m_Corner_5storey_mesh_BuildingNode;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.001;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.002;Downtown_30mX45m_Corner_5storey_mesh_BuildingNode.003,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_2,6,6,192,Foundation_Diff.png;Foundation_Spec.png,DownTown_6mX15m_02_2storey0_mesh1_BuildingNode;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.001;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.002;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.003;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.004;DownTown_6mX15m_02_2storey0_mesh1_BuildingNode.005,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_3,3,3,264,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_15mX30m_11storey_mesh_BuildingNode;Downtown_15mX30m_11storey_mesh_BuildingNode.001;Downtown_15mX30m_11storey_mesh_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_4,2,2,84,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_14mX15m_Corner_01_5storey0_BuildingNode;Downtown_14mX15m_Corner_01_5storey0_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_5,1,1,96,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,_30mX30m_8storey_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_6,1,1,106,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_15mX15m_01_5storey0_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_7,3,3,318,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_15mX30m_01_5storey_Mesh0_BuildingNode;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.001;Downtown_15mX30m_01_5storey_Mesh0_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Building_8,4,4,168,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_14mX15m_Corner_02_5storey0_BuildingNode;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.001;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.002;Downtown_14mX15m_Corner_02_5storey0_BuildingNode.003,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete3_Prop,1,1,106,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_30mx15m_01_5storey0_PropNode,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete4_Building,1,1,16,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_9mX14m_01_1storey_mesh_BuildingNode,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete4_Building_1,12,12,480,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.001;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.002;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.003;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.004;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.005;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.006;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.007;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.008;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.009;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.010;Downtown_8mX15m_01_4storey_0_mesh1_BuildingNode.011,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete4_Building_2,3,3,384,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete4_Building_3,2,2,256,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,direct concrete/cement material name or texture
itu_concrete,Foundation_Concrete4_Building_4,1,1,128,Foundation_Diff.png;Foundation_Norm.png;Foundation_Spec.png,Downtown_30mX30m_02_5storey0_mesh_BuildingNode,direct concrete/cement material name or texture
